Časová pečiatka,Uveďte Váš vek:,Uveďte Vaše pohlavie:,1. Ako hodnotíte všeobecnú prehľadnosť slovensko.sk?,2. Ako hodnotíte dizajn a prehľadnosť slovensko.sk pri navštívení cez mobilný prehliadač?,3. Ako hodnotíte schránku dokumentov na slovensko.sk?,4. Aké sú Vaše dojmy z inštalácie potrebných programov pre používanie elektronického občianskeho preukazu?,5. Ak ste si vytvorili vlastný e-podpis bol pre Vás tento proces náročný?,6. Za akým účelom najčastejšie navštevujete slovensko.sk?,7. Ktorú z nasledujúcich elektronických služieb ste už využili?,8. Ako hodnotíte funkčnosť vybraných služieb?,9. Nakoľko sú Vaše skúsenosti s inými eGovernment portálmi ako slovensko.sk pozitívne? ,"10. Je pre Vás slovensko.sk pohodlnejšie, ako osobný styk na úradoch?"
12.5.2018 12:41:15,24,Žena,Málo prehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Jednoduchá inštalácia a prehľadné návody,Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci",Žiadne,Často ne fungujú,Neutrálne,Áno
12.5.2018 12:54:18,21,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Výpis z obchodného registra,Vždy fungujú,Neutrálne,Nie
12.5.2018 14:46:37,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
12.5.2018 18:35:23,21,Žena,Málo prehľadné,Nepoužívam,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Jednoduchá inštalácia a prehľadné návody,Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci",Ohlásenie živnosti,Vždy fungujú,Negatívne,Áno
12.5.2018 20:10:23,20,Žena,Neprehľadné,Nepoužívam,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Nevytvoril,Nenavštevujem,Žiadne,Často ne fungujú,Neutrálne,Áno
12.5.2018 21:11:31,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
13.5.2018 13:21:31,43,Muž,Celkom prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Jednoduchá inštalácia a prehľadné návody,Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Ohlásenie živnosti, Žiadosť o výpis zo živnostenského registra, Výpis alebo odpis z registra trestov",Vždy fungujú,Veľmi pozitívne,Áno
13.5.2018 13:22:09,37,Žena,Prehľadné,Prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Používanie služieb verejnej správy,"Ohlásenie živnosti, Žiadosť o výpis zo živnostenského registra, Výpis alebo odpis z registra trestov, Vydanie nového občianskeho preukazu s čipom, Prihlásenie na trvalý pobyt alebo na prechodný pobyt",Vždy fungujú,Veľmi pozitívne,Áno
13.5.2018 17:14:33,ľá,Muž,Neprehľadné,Málo prehľadné,Ťažko sa mi s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Výpis z obchodného registra, Ohlásenie živnosti",Často ne fungujú,Negatívne,Nie
13.5.2018 17:44:31,31,Muž,Málo prehľadné,Celkom prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Vyhľadávanie informácií,Žiadne,Nepoužívam,Neutrálne,Nie
14.5.2018 9:13:11,43,Muž,Málo prehľadné,Celkom prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Zložitá inštalácia, avšak prehľadné návody",Stredne náročný,Vyhľadávanie informácií,Výpis alebo odpis z registra trestov,Často fungujú,Neutrálne,Áno
14.5.2018 9:30:45,25,Žena,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
14.5.2018 12:12:37,24,Muž,Prehľadné,Prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Jednoduchá inštalácia a prehľadné návody,Nenáročný,Používanie služieb verejnej správy,"Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Výpis z obchodného registra, Žiadosť o prevod držby vozidla na inú osobu, Vydanie nového občianskeho preukazu s čipom, Späťvzatie priezviska po rozvode",Vždy fungujú,Veľmi pozitívne,Áno
14.5.2018 12:13:58,21,Žena,Celkom prehľadné,Prehľadné,Ťažko sa mi s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Nenáročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Žiadosť o výpis zo živnostenského registra, Výpis alebo odpis z registra trestov, Žiadosť o prevod držby vozidla na inú osobu",Vždy fungujú,Pozitívne,Áno
14.5.2018 12:14:52,27,Muž,Prehľadné,Prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Jednoduchá inštalácia a prehľadné návody,Nenáročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Výpis z obchodného registra, Prihlásenie na trvalý pobyt alebo na prechodný pobyt, Vydanie úradného výpisu matričného dokladu",Vždy fungujú,Veľmi pozitívne,Áno
14.5.2018 12:15:39,34,Žena,Celkom prehľadné,Celkom prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,Jednoduchá inštalácia a prehľadné návody,Stredne náročný,Vyhľadávanie informácií,"Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Ohlásenie živnosti, Žiadosť o výpis zo živnostenského registra, Výpis alebo odpis z registra trestov, Žiadosť o prevod držby vozidla na inú osobu, Späťvzatie priezviska po rozvode",Vždy fungujú,Pozitívne,Áno
14.5.2018 12:24:33,21,Muž,Málo prehľadné,Celkom prehľadné,Veľmi užitočná služba dobre sa s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Nenáročný,Vyhľadávanie informácií,"Výpis z obchodného registra, Ohlásenie živnosti, Prihlásenie na trvalý pobyt alebo na prechodný pobyt",Často fungujú,Pozitívne,Áno
14.5.2018 12:25:36,52,Muž,Málo prehľadné,Málo prehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,Používanie služieb verejnej správy,"Žiadosť o výpis zo živnostenského registra, Výpis alebo odpis z registra trestov, Prihlásenie na trvalý pobyt alebo na prechodný pobyt",Často fungujú,Negatívne,Nie
15.5.2018 15:43:04,57,Žena,Celkom prehľadné,Nepoužívam,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Zložitá inštalácia a neprehľadné návody,Nevytvoril,"Pracovne, je to nevyhnutné kvôli mojej práci","prevzatie a podanie dokumentov exekútorských úradov, sociálnej a zdravotnej poisťovne, katastra,",Často fungujú,Pozitívne,Nie
16.5.2018 13:34:06,1967,Muž,Málo prehľadné,Nepoužívam,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Náročný,Nenavštevujem,Žiadne,Nepoužívam,Veľmi negatívne,Áno
16.5.2018 16:48:47,23,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
20.5.2018 16:34:39,26,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,
21.5.2018 11:24:12,40,Muž,Neprehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Stredne náročný,Používanie služieb verejnej správy,nefungovalo,Často ne fungujú,Negatívne,Nie
21.5.2018 11:46:47,46,Muž,Málo prehľadné,Nepoužívam,Ťažko sa mi s ňou pracuje,"Zložitá inštalácia, avšak prehľadné návody",Náročný,"Pracovne, je to nevyhnutné kvôli mojej práci",schranka,Často ne fungujú,Veľmi negatívne,Nie
24.5.2018 11:44:37,24,Muž,Celkom prehľadné,Nepoužívam,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Nepoužívam,Neutrálne,Nie
